t,left_x,left_y,left_z,left_roll,left_pitch,left_yaw,left_qw,left_qx,left_qy,left_qz,right_x,right_y,right_z,right_roll,right_pitch,right_yaw,right_qw,right_qx,right_qy,right_qz
0.0,0.20594519054341995,0.164087228246338,0.039687035853799776,-0.00011721320929806989,-0.07879292839095897,0.12799825753839356,0.9971785488037926,0.00246052558041385,-0.039309385770551535,0.06390351954135344,0.20594519054341995,-0.164087228246338,0.039687035853799776,0.00011721320929806989,-0.07879292839095897,-0.12799825753839356,0.9971785488037928,-0.0024605255804138505,-0.03930938577055154,-0.06390351954135345
0.020208192989230156,0.20600010885672546,0.1640606680295575,0.03973130357207019,-0.00019625199948307415,-0.07901338334766406,0.12791743505493958,0.9971768888671795,0.0024265691866037307,-0.039421925455153134,0.06386138007093103,0.20600010885672546,-0.1640606680295575,0.03973130357207019,0.00019625199948307415,-0.07901338334766406,-0.12791743505493958,0.9971768888671795,-0.0024265691866037307,-0.039421925455153134,-0.06386138007093103
0.040035966027062386,0.2060965398830878,0.1640284392575364,0.03981616992070051,-0.0002979811606741295,-0.07942364905582355,0.12779573823576573,0.9971727903906915,0.0023865388040516682,-0.039629871757977726,0.06379814888713298,0.2060965398830878,-0.1640284392575364,0.03981616992070051,0.0002979811606741295,-0.07942364905582355,-0.12779573823576573,0.9971727903906916,-0.0023865388040516687,-0.03962987175797774,-0.06379814888713299
0.05993593402672559,0.20618560505279696,0.16400596182253957,0.03990005462339642,-0.0003362757688661344,-0.07984357169322931,0.1276943381846328,0.9971677306513111,0.002378823446822361,-0.03984058064041312,0.06374626483926568,0.20618560505279696,-0.16400596182253957,0.03990005462339642,0.0003362757688661344,-0.07984357169322931,-0.1276943381846328,0.9971677306513111,-0.0023788234468223608,-0.03984058064041312,-0.06374626483926568
0.07993437501136214,0.20627674925211115,0.16397747791091316,0.039980995735760624,-0.00041165187775026035,-0.08024018883588635,0.12758391065680608,0.9971634220264735,0.002351675668766817,-0.040040858923780835,0.06368915928670967,0.20627674925211115,-0.16397747791091316,0.039980995735760624,0.00041165187775026035,-0.08024018883588635,-0.12758391065680608,0.9971634220264735,-0.002351675668766817,-0.04004085892378084,-0.06368915928670968
0.09993423003470525,0.20635226636552517,0.1639580745422638,0.04004859409093661,-0.00045435025538707874,-0.08057154146084544,0.1274915250352232,0.9971597699245327,0.0023390843661021212,-0.040207532342522424,0.06364178086215153,0.20635226636552517,-0.1639580745422638,0.04004859409093661,0.00045435025538707874,-0.08057154146084544,-0.1274915250352232,0.9971597699245328,-0.002339084366102122,-0.04020753234252244,-0.06364178086215154
0.11993370304116979,0.2064471462231903,0.1639322126551843,0.04013786469604802,-0.0004942834100568894,-0.08101768709637702,0.1273539113565953,0.9971552056773363,0.0023305934927640637,-0.04043140146438403,0.06357173821901124,0.2064471462231903,-0.1639322126551843,0.04013786469604802,0.0004942834100568894,-0.08101768709637702,-0.1273539113565953,0.9971552056773363,-0.0023305934927640637,-0.04043140146438403,-0.06357173821901124
0.13993394799763337,0.2065683085533218,0.16390240038834525,0.04024185222075853,-0.0005645253551905122,-0.08151211818472359,0.1272248804027713,0.9971493686433845,0.002308669067845422,-0.04068029385942693,0.06350527814871335,0.2065683085533218,-0.16390240038834525,0.04024185222075853,0.0005645253551905122,-0.08151211818472359,-0.1272248804027713,0.9971493686433845,-0.002308669067845422,-0.04068029385942693,-0.06350527814871335
0.15993404301116243,0.20669045701123803,0.1638632869198974,0.040351016293614234,-0.0006697893654178666,-0.08205190331649126,0.12708456240114158,0.9971429365331402,0.0022704601766461692,-0.04095291688808136,0.06343238708270571,0.20669045701123803,-0.1638632869198974,0.040351016293614234,0.0006697893654178666,-0.08205190331649126,-0.12708456240114158,0.9971429365331402,-0.002270460176646169,-0.040952916888081364,-0.06343238708270571
0.17993486899649724,0.20680625350946447,0.16382457295169517,0.04045407376660318,-0.0007462830339496906,-0.0825502638016935,0.1269142475965534,0.9971381961463082,0.0022446270462701725,-0.041204000824065196,0.06334516360070673,0.20680625350946447,-0.16382457295169517,0.04045407376660318,0.0007462830339496906,-0.0825502638016935,-0.1269142475965534,0.9971381961463082,-0.0022446270462701725,-0.041204000824065196,-0.06334516360070673
